City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,nanticoke,41.2054,-76.0049,21.920000000000016,93,100,0.92,US,1691662090
311,marka,1.7159,44.7717,24.32000000000005,86,57,7.15,SO,1691636462
312,akureyri,65.6835,-18.0878,10.960000000000036,62,40,6.69,IS,1691642029
313,richards bay,-28.783,32.0377,17.460000000000036,74,0,4.27,ZA,1691641731
314,chu,43.5983,73.7614,28.610000000000014,28,52,4.68,KZ,1691625801
315,tadine,-21.55,167.8833,17.55000000000001,55,0,7.77,NC,1691694918
316,kattivakkam,13.2167,80.3167,28.05000000000001,73,100,2.58,IN,1691627132
317,vytegra,61.0064,36.4481,18.730000000000018,76,2,1.0,RU,1691630975
318,bolgatanga,10.7856,-0.8514,22.850000000000023,92,100,3.35,GH,1691646788
319,ozernyy,55.5802,32.4127,17.28000000000003,69,75,1.38,RU,1691633542
320,north battleford,52.7834,-108.2847,15.78000000000003,94,100,4.63,CA,1691667981
321,coquimbo,-29.9533,-71.3436,18.850000000000023,55,0,2.06,CL,1691666629
322,hobyo,5.3505,48.5268,24.840000000000032,82,88,11.78,SO,1691635313
323,salalah,17.0151,54.0924,26.05000000000001,100,100,3.6,OM,1691633146
324,la cumbre,-30.982,-64.4914,22.480000000000018,50,0,7.22,AR,1691665077
325,sanya,18.2431,109.505,29.090000000000032,74,0,1.0,CN,1691706169
326,lazaro cardenas,17.9583,-102.2,30.640000000000043,68,95,0.92,MX,1691670592
327,kingston,17.997,-76.7936,34.58000000000004,69,20,7.72,JM,1691664491
328,yugo-kamskiy,57.7053,55.5894,22.010000000000048,65,40,1.81,RU,1691627416
329,diu,20.7141,70.9822,26.950000000000045,80,98,6.29,IN,1691628806
